"date","country","city","variable","count","min","max","median","variance","sd","completeness_score","30_day_rolling_avg","z_score_all","z_score_city","over_who_limit","avg_time_24h","avg_time_8h","monthly_percent_exceeded","avg_magnitude","magnitude_score"
"2021-11-19","IN","Ghāziābād","pm25",48,176,433,239,43363,208.24,1.0,251.77,5.9,1.57,1,15,NULL,100,251,176
"2021-11-26","IN","New Delhi","pm25",24,200,433,305,46280.8,215.13,1.0,266.73,6.34,1.79,1,15,NULL,100,262,181
"2019-01-18","IN","Ghāziābād","pm25",24,173,433,288,67929.1,260.63,1.0,299.72,7.3,2.27,1,15,NULL,100,243,172
"2019-01-12","IN","New Delhi","pm25",24,177,432,276,53676.5,231.68,1.0,268.75,6.4,1.82,1,15,NULL,100,230,165
"2020-11-20","IN","Delhi","pm25",951,55,432,203,35846.9,189.33,1.0,269.2,6.41,1.85,1,15,NULL,100,244,172
"2020-12-25","IN","New Delhi","pm25",24,159,431,265,79954.5,282.76,1.0,241.23,5.6,1.43,1,15,NULL,100,241,171
"2023-01-30","BD","Dhaka","pm25",24,170,431,343,82200,286.71,1.0,279.87,6.72,2.14,1,15,NULL,100,264,182
"2019-01-11","IN","New Delhi","pm25",24,171,431,294,78942.2,280.97,1.0,268.09,6.38,1.81,1,15,NULL,100,230,165
"2021-01-08","BD","Dhaka","pm25",24,151,430,227,42136.2,205.27,1.0,235.77,5.44,1.46,1,15,NULL,100,248,174
"2019-11-25","IN","Delhi","pm25",680,91,430,186,13758.1,117.29,1.0,281.17,6.76,2.04,1,15,NULL,100,238,169
"2021-12-08","IN","Delhi","pm25",927,29,430,180,19291.2,138.89,1.0,259.73,6.14,1.71,1,15,NULL,100,224,162
"2021-12-02","IN","New Delhi","pm25",24,198,429,377,51784.2,227.56,1.0,285.17,6.88,2.06,1,15,NULL,100,231,166
"2020-12-21","CN","Ürümqi","pm25",190,13,428,162,122950,350.64,1.0,212.9,4.77,1.96,1,15,NULL,100,220,160
"2019-01-07","IN","Patna","pm25",48,164,428,279,38595.2,196.46,1.0,324.29,8.02,3.45,1,15,NULL,100,250,175
"2023-01-18","BD","Dhaka","pm25",24,190,426,249,37703.8,194.17,1.0,282.83,6.81,2.18,1,15,NULL,100,264,182
"2019-01-05","IN","New Delhi","pm25",24,170,426,268,86599.1,294.28,1.0,315.0,7.75,2.49,1,15,NULL,100,230,165
"2020-11-24","IN","New Delhi","pm25",24,181,426,275,61966.9,248.93,1.0,252.93,5.94,1.6,1,15,NULL,100,228,164
"2021-12-22","IN","New Delhi","pm25",24,174,426,339,76064.4,275.8,1.0,241.53,5.61,1.43,1,15,NULL,100,231,166
"2019-01-19","BD","Dhaka","pm25",24,202,426,309,32300,179.72,1.0,238.79,5.53,1.51,1,15,NULL,100,221,161
"2019-12-17","IN","Delhi","pm25",855,24,425,169,20145.3,141.93,1.0,213.8,4.8,1.0,1,15,NULL,100,244,172
"2020-12-25","IN","Lucknow","pm25",96,122,425,232,32796,181.1,1.0,238.47,5.52,1.92,1,15,NULL,100,229,165
"2019-12-28","IN","New Delhi","pm25",24,296,425,342,8358.84,91.43,1.0,247.27,5.77,1.51,1,15,NULL,100,251,176
"2019-12-11","IN","New Delhi","pm25",24,236,424,314,19271.3,138.82,1.0,239.4,5.54,1.4,1,15,NULL,100,251,176
"2020-12-07","IN","New Delhi","pm25",24,256,424,330,33654.8,183.45,1.0,250.67,5.87,1.56,1,15,NULL,100,241,171
"2022-12-23","IN","New Delhi","pm25",24,206,424,298,35644.3,188.8,1.0,233.4,5.37,1.31,1,15,NULL,100,230,165
"2021-12-24","IN","New Delhi","pm25",24,198,423,339,53487.8,231.27,1.0,249.33,5.83,1.54,1,15,NULL,100,231,166
"2019-01-13","IN","Ghāziābād","pm25",24,230,423,364,52302.3,228.7,1.0,314.31,7.72,2.48,1,15,NULL,100,243,172
"2020-11-05","IN","New Delhi","pm25",24,225,423,272,58642.6,242.16,1.0,203.1,4.49,0.88,1,15,NULL,100,228,164
"2020-12-08","IN","Lucknow","pm25",95,99,423,283,45332.4,212.91,1.0,217.03,4.89,1.53,1,15,NULL,100,229,165
"2022-12-30","BD","Dhaka","pm25",9999,185.38,422.62,302,49745.2,223.04,1.0,260.97,6.17,1.85,1,15,NULL,100,247,174
"2020-12-12","IN","New Delhi","pm25",24,207,422,320,32954.7,181.53,1.0,232.9,5.36,1.31,1,15,NULL,100,241,171
"2019-12-07","IN","Ghāziābād","pm25",25,173,422,302,56077.5,236.81,1.0,253.8,5.96,1.6,1,15,NULL,100,251,176
"2020-01-30","BD","Dhaka","pm25",24,203,421,343,46770.7,216.27,1.0,232.58,5.35,1.42,1,15,NULL,100,219,160
"2020-12-29","IN","New Delhi","pm25",9999,143,420.5,270,49974.36,223.55,1.0,255.4,6.01,1.63,1,15,NULL,100,241,171
"2020-12-21","IN","New Delhi","pm25",24,169,420,231,32175.2,179.37,1.0,227.73,5.21,1.23,1,15,NULL,100,241,171
"2022-12-15","BD","Dhaka","pm25",24,175,420,335,51207.4,226.29,1.0,206.1,4.58,1.01,1,15,NULL,100,247,174
"2020-12-08","CN","Ürümqi","pm25",189,25,419,252,68234.3,261.22,1.0,139.23,2.63,0.74,1,15,NULL,100,220,160
"2019-01-13","IN","New Delhi","pm25",24,199,419,288,31219.5,176.69,1.0,270.23,6.44,1.84,1,15,NULL,100,230,165
"2019-01-18","BD","Dhaka","pm25",24,182,418,303,70233,265.02,1.0,234.89,5.41,1.45,1,15,NULL,100,221,161
"2021-11-28","IN","New Delhi","pm25",24,253,418,295,31923.5,178.67,1.0,272.3,6.5,1.87,1,15,NULL,100,262,181
"2020-01-19","BD","Dhaka","pm25",24,176,418,233,36198.2,190.26,1.0,225.67,5.15,1.31,1,15,NULL,100,219,160
"2019-01-03","IN","Kolkata","pm25",119,181,418,264,41457.8,203.61,1.0,237.33,5.48,2.43,1,15,NULL,100,220,160
"2019-01-24","IN","Kolkata","pm25",120,165,417,240,42994.6,207.35,1.0,250.96,5.88,2.68,1,15,NULL,100,220,160
"2022-12-21","BD","Dhaka","pm25",24,159,416,271,69714.3,264.03,1.0,224.97,5.12,1.3,1,15,NULL,100,247,174
"2021-11-16","IN","New Delhi","pm25",24,191,416,301,64336.9,253.65,1.0,227.57,5.2,1.23,1,15,NULL,100,262,181
"2020-12-21","IN","Ghāziābād","pm25",47,180,416,264,48113.5,219.35,1.0,252.07,5.91,1.58,1,15,NULL,100,257,179
"2021-11-29","IN","New Delhi","pm25",24,170,416,274,60213.9,245.39,1.0,275.07,6.58,1.91,1,15,NULL,100,262,181
"2019-12-25","IN","New Delhi","pm25",24,185,415,213,33698.2,183.57,1.0,231.43,5.31,1.29,1,15,NULL,100,251,176
"2019-01-30","IN","Patna","pm25",48,139,414,173,41147.4,202.85,1.0,266.5,6.33,2.42,1,15,NULL,100,250,175
"2019-01-14","IN","Patna","pm25",36,172,414,268,42646.7,206.51,1.0,296.07,7.19,2.95,1,15,NULL,100,250,175
"2023-01-06","IN","New Delhi","pm25",24,316,414,361,9412.17,97.02,1.0,256.62,6.05,1.65,1,15,NULL,100,231,166
"2021-01-18","BD","Dhaka","pm25",24,198,414,277,29710.4,172.37,1.0,253.87,5.97,1.74,1,15,NULL,100,248,174
"2019-01-07","BD","Dhaka","pm25",24,102,414,210,69839.1,264.27,1.0,230.71,5.29,1.39,1,15,NULL,100,221,161
"2020-11-25","IN","Ghāziābād","pm25",48,183,413,337,41920.3,204.74,1.0,278.5,6.68,1.96,1,15,NULL,100,252,176
"2023-01-09","BD","Dhaka","pm25",24,170,413,287,39990,199.97,1.0,284.23,6.85,2.2,1,15,NULL,100,264,182
"2019-11-16","IN","New Delhi","pm25",24,134,413,242,85323.4,292.1,1.0,266.27,6.33,1.79,1,15,NULL,100,232,166
"2021-11-03","IN","Ghāziābād","pm25",48,156,413,209,44662.9,211.34,1.0,167.73,3.46,0.35,1,15,NULL,100,251,176
"2021-11-10","IN","New Delhi","pm25",24,210,412,249,29841.3,172.75,1.0,197.67,4.33,0.8,1,15,NULL,100,262,181
"2019-01-20","IN","Ghāziābād","pm25",24,172,412,292,73287.2,270.72,1.0,299.2,7.29,2.26,1,15,NULL,100,243,172
"2020-11-12","IN","New Delhi","pm25",24,154,412,183,70584.9,265.68,1.0,239.13,5.54,1.4,1,15,NULL,100,228,164
"2021-01-28","IN","New Delhi","pm25",24,194,410,309,37166.8,192.79,1.0,244.37,5.69,1.47,1,15,NULL,100,228,164
"2019-12-24","IN","New Delhi","pm25",24,272,410,351,16675.6,129.13,1.0,230.23,5.28,1.27,1,15,NULL,100,251,176
"2019-01-19","IN","New Delhi","pm25",24,149,410,285,77862,279.04,1.0,268.47,6.39,1.82,1,15,NULL,100,230,165
"2020-01-29","BD","Dhaka","pm25",24,209,410,304,29499.1,171.75,1.0,228.55,5.23,1.35,1,15,NULL,100,219,160
"2020-11-22","IN","Delhi","pm25",932,41,410,197,30422.9,174.42,1.0,266.33,6.33,1.81,1,15,NULL,100,244,172
"2021-11-01","IN","Ghāziābād","pm25",48,169,409,215,44007,209.78,1.0,162.9,3.32,0.28,1,15,NULL,100,251,176
"2019-12-25","IN","Ghāziābād","pm25",48,168,409,239,32058.2,179.05,1.0,241.63,5.61,1.42,1,15,NULL,100,251,176
"2023-01-21","IN","New Delhi","pm25",24,184,408,218,56041.7,236.73,1.0,270.72,6.46,1.85,1,15,NULL,100,231,166
"2021-01-05","BD","Dhaka","pm25",24,155,408,248,35464.6,188.32,1.0,231.7,5.32,1.4,1,15,NULL,100,248,174
"2019-01-25","BD","Dhaka","pm25",23,158,408,193,44874.2,211.84,1.0,243.44,5.66,1.58,1,15,NULL,100,221,161
"2022-01-01","IN","New Delhi","pm25",24,209,408,255,27251.9,165.08,0.32,241.77,5.61,1.43,1,15,NULL,32,307,170
"2021-12-07","IN","Delhi","pm25",931,11,408,177,19620.9,140.07,1.0,263.93,6.26,1.77,1,15,NULL,100,224,162
"2020-01-18","BD","Dhaka","pm25",24,151,407,198,60070.1,245.09,1.0,224.6,5.11,1.29,1,15,NULL,100,219,160
"2019-12-27","IN","New Delhi","pm25",24,211,407,257,35471,188.34,1.0,238.77,5.53,1.39,1,15,NULL,100,251,176
"2021-12-01","IN","New Delhi","pm25",24,223,406,245,28403.4,168.53,1.0,279.0,6.7,1.97,1,15,NULL,100,231,166
"2022-12-21","IN","New Delhi","pm25",24,188,406,251,40633,201.58,1.0,226.6,5.17,1.22,1,15,NULL,100,230,165
"2020-01-16","BD","Dhaka","pm25",24,188,405,260,36447.8,190.91,1.0,224.8,5.12,1.3,1,15,NULL,100,219,160
"2019-01-15","IN","Patna","pm25",48,137,405,194,37310.4,193.16,1.0,289.27,7.0,2.82,1,15,NULL,100,250,175
"2019-11-08","IN","Ghāziābād","pm25",48,161,405,220,49328.2,222.1,1.0,252.23,5.92,1.58,1,15,NULL,100,252,176
"2019-12-07","IN","New Delhi","pm25",24,180,404,339,65358.2,255.65,1.0,229.2,5.25,1.25,1,15,NULL,100,251,176
"2019-01-20","IN","New Delhi","pm25",24,114,403,337,100230,316.59,1.0,271.9,6.49,1.87,1,15,NULL,100,230,165
"2019-12-08","IN","Ghāziābād","pm25",24,177,403,331,49671.3,222.87,1.0,257.5,6.07,1.65,1,15,NULL,100,251,176
"2020-12-29","IN","Ghāziābād","pm25",9999,140.75,403,254.5,44618.12,211.23,1.0,274.76,6.57,1.9,1,15,NULL,100,257,179
"2020-12-09","CN","Ürümqi","pm25",187,5,403,283,113088,336.29,1.0,144.27,2.78,0.82,1,15,NULL,100,220,160
"2020-12-19","IN","Ghāziābād","pm25",48,147,403,205,36733.3,191.66,1.0,247.8,5.79,1.51,1,15,NULL,100,257,179
"2019-01-07","IN","Ghāziābād","pm25",24,182,402,267,30008.4,173.23,1.0,334.86,8.32,2.78,1,15,NULL,100,243,172
"2019-01-31","IN","New Delhi","pm25",19,159,402,282,57430.1,239.65,1.0,242.63,5.64,1.45,1,15,NULL,100,230,165
