"date","country","city","variable","count","min","max","median","variance","sd","completeness_score","30_day_rolling_avg","z_score_all","z_score_city","over_who_limit","avg_time_24h","avg_time_8h","monthly_percent_exceeded","avg_magnitude","magnitude_score"
"2022-07-15","JP","Utsunomiya","precipitation",76,0.5,2.6,0.7,6.81,2.61,0.87,72.73,1.22,2.68,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-29","KR","Seoul","precipitation",924,0.1,2.4,1.2,2.6,1.61,1.0,13.76,0.0,2.58,NULL,NULL,NULL,NULL,NULL,NULL
"2021-01-27","JP","Nagoya","precipitation",22,1.9,2.4,2.3,0.48,0.69,0.71,40.6,0.55,2.54,NULL,NULL,NULL,NULL,NULL,NULL
"2021-03-16","KR","Incheon","precipitation",605,0.2,2.4,0.3,1.63,1.28,0.84,18.38,0.09,2.58,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-29","KR","Incheon","precipitation",569,0.1,2.2,1,2.66,1.63,1.0,19.7,0.12,2.84,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-22","KR","Suwon","precipitation",21,"1.5","2.2","2","0.91","0.95","1.00","18.31","0.09","2.56",NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-29","KR","Cheongju-si","precipitation",96,"0.2","2.2","1.3","2.46","1.57","1.00","21.25","0.15","3.46",NULL,NULL,NULL,NULL,NULL,NULL
"2022-09-17","KR","Daegu","precipitation",84,"0.1","2.2","0.3","0.61","0.78","0.80","20.10","0.13","3.75",NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-28","KR","Seoul","precipitation",9999,"0.2","2.13","0.97","2.83","1.68","1.00","13.79","0.00","2.59",NULL,NULL,NULL,NULL,NULL,NULL
"2020-05-03","CN","Harbin","precipitation",35,"0.2","1.9","0.7","4.14","2.03","0.94","46.27","0.67","3.09",NULL,NULL,NULL,NULL,NULL,NULL
"2020-07-15","KR","Mokpo","precipitation",72,"0.2","1.9","0.6","0.83","0.91","0.77","29.03","0.31","2.57",NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-27","KR","Seoul","precipitation",9999,"0.3","1.87","0.73","3.06","1.75","1.00","13.96","0.00","2.64",NULL,NULL,NULL,NULL,NULL,NULL
"2021-01-26","JP","Nagoya","precipitation",9999,"1.37","1.8","1.67","0.37","0.61","0.71","41.38","0.57","2.61",NULL,NULL,NULL,NULL,NULL,NULL
"2021-07-09","JP","Ōita","precipitation",44,"0.4","1.8","0.6","3.15","1.77","0.45","54.64","0.84","2.97",NULL,NULL,NULL,NULL,NULL,NULL
"2020-05-04","CN","Harbin","precipitation",9999,"0.19","1.74","0.66","3.7","1.92","0.94","45.49","0.66","3.03",NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-26","KR","Seoul","precipitation",52,"0.4","1.6","0.5","3.29","1.81","1.00","14.10","0.01","2.68",NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-25","KR","Seoul","precipitation",508,"0.1","1.6","0.6","3.2","1.79","1.00","14.21","0.01","2.71",NULL,NULL,NULL,NULL,NULL,NULL
